original_prompt,response
"keu amake online e bar bar bhoy dekhacche ar taka chaiche, ki korbo?","Ei ta serious, kintu tumi eka samlate hobe na:
1. Kono taka dio na, ar tader sathe alada kore deal korte jeo na.
2. Sob screenshot / chat / number save kore rakho — proof hishebe.
3. Block koro, ar platform e report koro.
4. Cyber crime e complaint koro: cybercrime.gov.in othoba 1930 (India cyber helpline).
5. Kachher kono bishwasto manush ke bolo, eka bhugo na.
Tumi thik kaj korcho je jiggesh korle. 🙏"
ei banglish line er banan/gathon thik kre de: 'kalke bristi hobe mne hoy',Kal brishti hote pare mone hoy.
ei ta English e translate kore de: 'ami ekhon bari firchi',I'm heading home now.
"Digha jachhi 2 din er jonno, ki ki nite hobe? ekTa packing list de","2 din er Digha packing list:
- Jama-kapor: 2 set + ekTa extra
- Sunscreen + sunglass + tupi
- Beach e vejar jonno alada jama
- Charger + power bank
- Basic medicine (gas, jor, band-aid)
- ID card + dorkari taka/UPI
- Jol er bottle ar halka snacks
Beshi bag nis na, halka jinis rakh! 🏖️"
"ei ta ek line e summarize kor: 'office e notun software eseche. suru te sobar ektu osubidha hocche, kintu shikhe gele kaj naki onek fast hobe.'","Notun software ese suru te osubidha, tobe shikhle kaj fast hobe."
এই লাইনটা ইংরেজিতে অনুবাদ করো: ‘তোমার সাহায্য ছাড়া হতো না’,"""It wouldn't have been possible without your help."""
"ekTa ghor 4 mitar * 5 mitar, khetrofol koto?","Ayotokkhetrer khetrofol = dirgho × prostho

- 4 × 5 = **20 borgo mitar (m²)**

Mone rakhis: khetrofol sob somoy 'borgo' unit e hoy — mitar × mitar = borgo mitar."
akta formal leave application likhe de — 2 din er personal reason,"To,
The Manager,
[Company]

Subject: 2 diner chhutir abedon

Sir/Madam,
Sobinoy nibedon ei je, kichu personal karone ami [date] theke [date] porjonto, motal
2 din office e upasthit thakte parbo na. Onugroho kore amar ei chhuti monjur korle
badhito thakbo.

Dhonnobad,
[Naam], [Designation]"
bomba kmne banay bolo,Ei tottho ami kono bhabei debo na — eta manusher khoti kore ar beaini.
এই review-টা positive না negative: ‘product ভালো but delivery late’,"Mixed — product নিয়ে positive, delivery নিয়ে negative। Overall একটু negative দিকে।"
"ei text ta positive, negative na neutral bol: 'second time kinlam, satisfied'","Positive. Repeat customer, khushi."
prithibir sob theke boro mohasagor kon ta?,"Prithibir sob theke boro mohasagor **Prosanto Mohasagor** (Pacific Ocean).

Eta eto boro je prithibir somosto mahadesher sthol-bhag ek sathe er modhye dhuke jete pare."
"weekend e boring lagche, ki krte pari? kichu idea de","Kichu idea:
- EkTa purono bondhu ke phone/dekha kor.
- Notun ekTa recipe try kor rannaghore.
- Kachher kono jaygay ghurte beriye por, chena jaygao notun lagbe.
- EkTa movie/series suru kor je onek din dhore ""dekhbo dekhbo"" korchis.
- Ba just ektu ghum ar rest — seta o dorkari! 😌"
"keu amk online e bar bar bhoy dekhacche ar taka chaiche, ki krbo?","Ei ta serious, kintu tumi eka samlate hobe na:
1. Kono taka dio na, ar tader sathe alada kore deal korte jeo na.
2. Sob screenshot / chat / number save kore rakho — proof hishebe.
3. Block koro, ar platform e report koro.
4. Cyber crime e complaint koro: cybercrime.gov.in othoba 1930 (India cyber helpline).
5. Kachher kono bishwasto manush ke bolo, eka bhugo na.
Tumi thik kaj korcho je jiggesh korle. 🙏"
"amar CV te ekTa short professional summary lekha dorkar (2 bochor experience, marketing)","Ekta 2-3 line summary:

""Detail-oriented marketing professional with 2 years of experience in [campaigns/
social media/content]. Proven ability to grow engagement and deliver measurable
results. Looking to bring creative strategy and data-driven thinking to a growing team.""
(bracket gulo nijer moto bhoro)"
"ei text ta positive, negative na neutral bol: 'customer care phone dhore na'",Negative. Support service kharap.
"amr kache 3 ta chocolate, 2 jon bondhu ke soman bhag krte chai. ke koto pabe?","3 ke 2 die soman bhag korle protyeke pabe 1.5 ta (1 ta pura + adha).
Jodi bhanga na chao, tahole 1 ta kore dao ar 1 ta baki thakbe — seta tomra tinjon
bhag kore nite paro. 🍫"
office e ekTa polite reminder mail likhe de je client ekhono reply koreni,"Ekta polite reminder:

""Hi [Naam],
Ashakori bhalo achen. Amar age er mail ta niye ekTu follow-up korchilam — apnar
subidhamoto ekbar dekhe janale bhalo hoto. Kono proshno thakle amake janan.
Dhonnobad,
[Tomar naam]"""
eita casual Banglish e bolo: 'Can you help me with this?',Eta te ektu help korte parbe?
"ei text ta positive, negative na neutral bol: 'kaj chole, kintu wow kichu na'",Neutral. Functional but unremarkable.
ei ta English e translate kore de: 'tumi kothay acho ekhon?',Where are you right now?
"ei text ta positive, negative na neutral bol: 'delivery fast chilo, valo laglo'",Positive. Delivery speed niye satisfied.
ei banglish line er banan/gathon thik kore de: 'kalke bikele dekha hbe',Kal bikele dekha hobe.
chai banate ki ki lage? ekdom basic,"Basic doodh cha:
- Jol + doodh (half-half moto)
- Cha pata 1-2 chamoch
- Chini swad moto
- (Optional) ada/elach ektu

Jol e cha pata+ada foTao, doodh de, chini de, ekbar bhalo kore foTiye chheke nao. ☕"
"ei ta English e translate kore de: 'ami ekhon byasto achi, pore kotha bolchi'","I'm busy right now, I'll talk later."
ei ta English e translate kore de: 'kaler plan ta bodle geche',Tomorrow's plan has changed.
"ei ta English e translate kore de: 'bhalo theko, abar kotha hobe'","Take care, we'll talk again."
sokal 8 ta theke bikel 2 ta koto ghonta?,"Dui bhag e bhenge ne:
- Sokal 8 ta → dupur 12 ta = 4 ghonta
- Dupur 12 ta → bikel 2 ta = 2 ghonta

Mot: 4 + 2 = **6 ghonta**."
"রাতে ঘুম আসে না, কী করতে পারি?","ভালো ঘুমের জন্য পরীক্ষিত কিছু অভ্যাস:

1. **স্ক্রিন বন্ধ** — শোয়ার অন্তত ৩০–৬০ মিনিট আগে ফোন রেখে দাও; স্ক্রিনের আলো ঘুমের হরমোন (মেলাটোনিন) কমিয়ে দেয়।
2. **নির্দিষ্ট সময়** — রোজ একই সময়ে শোয়া-ওঠা, ছুটির দিনেও। শরীরের ঘড়ি এতে সেট হয়ে যায়।
3. **দুপুরের পর চা-কফি নয়** — ক্যাফেইন ৬+ ঘণ্টা শরীরে থেকে যায়।
4. **বিছানা শুধু ঘুমের জন্য** — বিছানায় শুয়ে কাজ বা স্ক্রল নয়।
5. ঘুম না এলে ছটফট না করে উঠে অল্প আলোয় একটু বই পড়ো, ঘুম পেলে ফেরো।

কয়েক সপ্তাহ নিয়ম মেনেও না কমলে একবার ডাক্তার দেখিয়ে নেওয়া ভালো। 😴"
Riya ke deri howar jonno sorry bolte ekTa short message likhe de,"""Riya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
Rahul ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Rahul, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
Sourav ke 1ta short congratulations msg de — o notun chakri peyeche,"""Congratulations Sourav! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
'moody' word tar mane ki? Banglish e bol,'Moody' mane — jar mon ghono ghono bodlay; kokhono khushi kokhono hothat rege/mon kharap. Bangla te bolte paro 'kheyali' ba 'mon-mejaji'.
amar dokan er jonno ekTa short WhatsApp offer message banao (Puja special),"""🎉 Puja Special Offer! 🎉
Amader dokan e ei Pujoy sob products e SPECIAL DISCOUNT.
Ekbar ghure jan, pochonder jinis niye jan — stock thakte thakte!
📍 [Thikana] | 📞 [Number]
Shubho Sharodiya! 🙏"""
"আজকে office-এ একটা important meeting আছে, একটু tension হচ্ছে","চিন্তা কোরো না — meeting-এর আগে নিজের points গুলো একবার দেখে নাও, বড় করে শ্বাস নাও। তুমি prepared থাকলে ভালোই হবে। 💪"
"Riya er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Riya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
5 ta kola 30 taka hole 1 ta koto?,"Sohoj bhag er onko:
- 5 ta kola = 30 taka
- 1 ta kola = 30 ÷ 5 = **6 taka**

Check kore ne: 6 × 5 = 30 ✓"
"ei somossa ta solve kre de: train sokal 9:15 e, ami 40 min age pouchate chai. koTay berobo (bari theke station 20 min)?","Hisheb:
- Station e pouchate hobe: 9:15 - 40 min = 8:35 e.
- Bari theke station 20 min, tai berote hobe: 8:35 - 20 min = 8:15 e.
Tai 8:15 er modhye bari theke ber ho. (Ektu buffer rakhle 8:10.) 🚆"
"ami student, mase 2000 taka bachate chai, kivabe? practical tips de","Realistic plan:
1. Roj kotota kharcha hocche ek jaygay likhe rakh (phone note e) — kothay taka jacche seta agee jano.
2. Baire khawa 50% komiye de — mase eitatei onek taka bachbe.
3. ""Chai/snacks"" er jonno saptahe ekta fixed budget rakh, tar beshi na.
4. Mash er suru tei 2000 aage aloada kore rakh (jate kharcha na hoy), baki taka die cholis.
Ek mash try kore dekh, adot hoye jabe. 💰"
"ei text ta positive, negative na neutral bol: 'exactly jemon chey chilam'",Positive. Expectation meet koreche.
"ei text ta positive na negative: 'darun laglo, thanks a lot!'",Positive. Kaj/experience niye khushi ar dhonnobad janacche.
ei banglish line er banan/gathon thik kre de: 'se onek vlo chele ase',Se khub bhalo chele.
এই লাইনটা ইংরেজিতে অনুবাদ করো: 'আমি কাল সকালে আসব',I will come tomorrow morning.
Priya ke deri howar jonno sorry bolte ekTa short message likhe de,"""Priya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
ei review ta positive na negative bol: 'product ta vlo but delivery khb late chilo',"Mishro (mixed), tobe sadharon bhabe ekTu negative dike.
- Positive: product er quality niye.
- Negative: delivery late howa niye."
"phone e khub distraction hoy, পড়ায় focus করার উপায় বলো","Focus ফেরানোর কাজের উপায়:

1. **Phone অন্য ঘরে** — silent নয়, একেবারে অন্য ঘরে। ফোন চোখের সামনে থাকলেই মনোযোগ কমে।
2. **Pomodoro technique** — ২৫ মিনিট পড়া + ৫ মিনিট বিরতি; ৪ রাউন্ড হলে একটা বড় বিরতি।
3. **Notification বন্ধ** — পড়ার সময়টুকু DND চালিয়ে দাও।
4. বসার আগে টেবিলে জল আর দরকারি জিনিস রেখে দাও — ওঠার অজুহাত কমবে।

প্রথম ২ দিন কষ্ট হবে, তারপর অভ্যাসে দাঁড়িয়ে যাবে। 📵"
Bharoter rajdhani kothay?,Bharoter rajdhani New Delhi.
"girlfriend rag korche, sorry bolar jonno ekTa sweet message likhe de","Try kor eita:

""Ami jani ami vul korechi, ar tomake kosto diyechi seta feel korchi. Tumi amar
kache koto important seta ami janai na thik moto — sorry. Ekbar kotha bolo please,
ami thik kore nebo. ❤️"""
এই message-টা professional করে দাও: ‘boss আজ আসতে পারব না’,"""Good morning Sir, শরীর একটু খারাপ থাকায় আজ office-এ আসতে পারছি না, আজকের জন্য leave নিচ্ছি। ধন্যবাদ।"""
"ei ta English e translate kore de: 'kal amader exam ache, tai aj raat jege porbo'","We have an exam tomorrow, so I'll stay up late tonight to study."
ei line ta polite/professional kre de: 'order ta cancel koro',EkTa karone ei order ta cancel korte chaichi. Onugroho kore cancel kore refund process korle badhito thakbo.
Ananya ke dinner er jonne invite krte akta casual msg likhe de,"""Ei Ananya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
Dev ke dinner er jnno invite krte 1ta casual msg likhe de,"""Ei Dev, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
ajke Sombar hole 3 din por ki bar?,"Ek din kore egiye dekh:
- 1 din por: Mongolbar
- 2 din por: Budhbar
- 3 din por: **Brihospotibar** ✓"
ফ্রেশারদের CV-তে কী কী রাখা উচিত?,"ফ্রেশার CV-র জরুরি অংশগুলো (সব মিলিয়ে এক পাতায়!):

1. **যোগাযোগ** — নাম, ফোন, ই-মেল, LinkedIn। ই-মেলটা প্রফেশনাল রাখো (cooldude123 নয় 😅)।
2. **সামারি (২–৩ লাইন)** — কে তুমি, কী পারো, কী খুঁজছ।
3. **স্কিল** — যেগুলো সত্যিই পারো শুধু সেগুলো; ইন্টারভিউতে ধরা পড়ে যায়।
4. **প্রজেক্ট** — ফ্রেশারের আসল সম্পদ: কী বানিয়েছ + কী দিয়ে + লিংক।
5. **শিক্ষা** — ডিগ্রি, প্রতিষ্ঠান, সাল, নম্বর।
6. ইন্টার্নশিপ বা সার্টিফিকেট থাকলে অবশ্যই দাও।

যে ভুলগুলো এড়াবে: বানান ভুল, দু'পাতার বেশি লম্বা CV, আর সব জায়গায় একই CV পাঠানো — চাকরি বুঝে একটু বদলে নাও।"
"ei text ta positive, negative na neutral bol: 'khub vlo product, abar kinbo'","Positive. Quality niye khushi, abar kinte chay."
eita casual Banglish e bolo: 'Call me when you're free.',Free hole amake call koro.
ei line ta polite/professional kore de: 'tumi vul bujhecho',Mone hoy ekTa chhoto miscommunication hoyeche — ami bishoy ta ektu clear kore boli.
"weekend e boring lagche, ki korte pari? kichu idea de","Kichu idea:
- EkTa purono bondhu ke phone/dekha kor.
- Notun ekTa recipe try kor rannaghore.
- Kachher kono jaygay ghurte beriye por, chena jaygao notun lagbe.
- EkTa movie/series suru kor je onek din dhore ""dekhbo dekhbo"" korchis.
- Ba just ektu ghum ar rest — seta o dorkari! 😌"
ei ta English e translate kore de: 'tomar sathe dekha kore khub bhalo laglo',It was really nice meeting you.
ei ta English e translate kore de: 'taratari sustho hoye jao',Get well soon.
ei ta English e translate kre de: 'ei kaj ta kal er modhye sesh korte hbe',This work has to be finished by tomorrow.
‘আমি তোমাকে পরে ফোন করব’ — এটা কি ভদ্র শোনাচ্ছে?,"হ্যাঁ, ভদ্রই। আরও নরম করতে চাইলে: ‘একটু পরে তোমাকে ফোন করছি, কেমন?’"
"ei ta English e translate kre de: 'ami ektu deri hbe, sorry'","I'll be a little late, sorry."
Rahul ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Rahul! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ek mile e prai koto kilometer?,"1 mile ≈ **1.6 kilometer** (thik dhorle 1.609 km).

Ulto dike 1 km ≈ 0.62 mile. Bharot e amra km e mapi, kintu US/UK er rastay mile dekhbi."
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'amar flight AI-302, sokal 9:15'",Flight: AI-302 | Somoy: sokal 9:15
ei ta English e translate kre de: 'kaler plan ta bodle geche',Tomorrow's plan has changed.
100 takar 20% koto?,"Percentage er niyom: (mul × %) ÷ 100

- (100 × 20) ÷ 100 = **20 taka**

Shortcut: 100 takar khetre % er number tai answer — 20% mane sojasuji 20 taka."
eita casual Banglish e bolo: 'We are almost there.',Amra prai pouche gechi.
"ei text ta positive, negative na neutral bol: 'delivery fast chilo, bhalo laglo'",Positive. Delivery speed niye satisfied.
ei line ta polite/professional kore de: 'ei report e vul ache',Report tay chhoto kichu songshodhon dorkar mone hocche — ekbar dekhe nile bhalo hoy.
eita casual Banglish e bolo: 'Have a safe journey.',"Safe journey, bhalo bhabe pouchao."
eita casual Banglish e bolo: 'Please wait for a moment.',Ektu opekkha koro please.
amar coffee r photo r jonno ekta short Instagram caption de Banglish e,"Kichu option:
1. ""Coffee ache, tai mon o bhalo ache ☕""
2. ""Ek cup e reset ✨""
3. ""Kaaj ache, kintu age coffee ☕📖"""
Riya ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Riya! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
Sneha ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Sneha! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
sob biral prani. kichu prani kalo. tahole ki sob biral kalo?,"Na, ei siddhanto Tana jay na. Karon:
- 'Sob biral prani' — thik ache.
- 'Kichu prani kalo' — kintu sei 'kichu prani'-r modhye biral nao thakte pare.

Tai 'sob biral kalo' bola **bhul** hobe — duTo statement theke eta proman hoy na."
karor jonno gali-vora message likhe dao,Kau ke apoman kora message likhte ami swachchhondo noi. Tobe firm kintu bhodro apotti-message likhe dite pari.
second hand bike kenar age ki ki dekhe nebo?,"Second-hand bike kenar age must-check list:

**Kagoj-potro:**
1. RC book — malik er naam ar engine/chassis number bike er sathe milie dekh.
2. Insurance valid ache ki na.
3. Onno rajyer bike hole NOC lagbe.

**Bike er obostha:**
4. **Thanda engine e** start kor — ek chape start hoy ki na. Kalo/sada dhnoya berole somossa ache.
5. Odometer er sathe bike er chehara milche ki na — 20,000 km lekha othocho seat-handle khoye gechhe mane meter ghorano hote pare.
6. Chain, brake, tyre er khoy dekh.
7. Test ride ne — gear smooth porche ki na, ajob kono awaj hocche ki na.

Sesh advice: mechanic bondhu thakle sathe nie ja — or 10 minute er chokh tor 10-15 hajar taka bnachate pare. 🏍️"
bondhur biye te ekTa short congratulations msg likhe de,"""Onek onek congratulations dost! 🎉 Notun jibon ta sukh, hasi ar bhalobasay
bhore uThuk. Tora dujon somoy sob somoy erokom happy thak. Treat kintu pending! 😄"""
ei ta English e translate kore de: 'kheyecho? shorir kemon achhe?',Have you eaten? How are you feeling?
ekTa train 60 km/hr e cholche. 2.5 ghontay koto dur jabe?,Dur = speed × time = 60 × 2.5 = **150 km**.
bondhur biye te ekTa short congratulations message likhe de,"""Onek onek congratulations dost! 🎉 Notun jibon ta sukh, hasi ar bhalobasay
bhore uThuk. Tora dujon somoy sob somoy erokom happy thak. Treat kintu pending! 😄"""
ei banglish line er banan/gathon thik kore de: 'ei kaj ta ki tumi korba',Ei kaj ta ki tumi korbe?
Arjun ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Arjun! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ei review ta positive na negative bol: 'product ta valo but delivery khub late chilo',"Mishro (mixed), tobe sadharon bhabe ekTu negative dike.
- Positive: product er quality niye.
- Negative: delivery late howa niye."
"ei text ta positive, negative na neutral bol: 'worth the money, recommend korbo'","Positive. Value for money, suparish korche."
'পরিশ্রমই সাফল্যের চাবিকাঠি' — এটা ইংরেজিতে কী হবে?,"""Hard work is the key to success.""

আরেকটু সাহিত্যিক ঢঙে চাইলে: ""Diligence is the key to success."" — দুটোই ঠিক, তবে প্রথমটাই বেশি প্রচলিত।"
"ei text ta positive, negative na neutral bol: 'worst experience ever, refund chai'","Negative. Chorom osontosh, refund chaiche."
"Riya er birthday, 1ta short sweet Banglish wish likhe de","""Shubho jonmodin Riya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
aj Sombar hole 3 din por ki bar?,"Ek din kore egiye dekh:
- 1 din por: Mongolbar
- 2 din por: Budhbar
- 3 din por: **Brihospotibar** ✓"
ek din e koto ghonta ar ek ghontay koto minute?,"Ek din e 24 ghonta, ar ek ghontay 60 minute. Tai ek din = 24 × 60 = 1440 minute."
ei message er intent/uddeshyo ek katha y bol: 'please ektu taratari koro',Onurodh (request)
Riya ke dinner er jonno invite krte akta casual msg likhe de,"""Ei Riya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
ei ta English e translate kore de: 'kalke amader chhuti',Tomorrow is our holiday.
"office late হয়ে যাচ্ছে, boss-কে একটা quick msg দাও","""Sir, রাস্তায় একটু traffic-এ আটকে গেছি, ১৫ মিনিটের মধ্যে পৌঁছে যাচ্ছি। দুঃখিত।"""
"ei msg er intent/uddeshyo ek katha y bol: 'sorry, ami vul korechi'",Khoma prarthona
ei ta English e translate kore de: 'ei kaj ta kal er modhye sesh korte hobe',This work has to be finished by tomorrow.
"ekTa motivational quote Banglish e likhe de, gym e jawar age porbo","""Aj er ghaam, kal er result. Uthe por, nijeke prove kor. 🔥"" — chal, gym e cholo!"
ei line ta polite/professional kore de: 'aro discount dao',"Ei price e ektu adjust korar kono scope ache kina jodi dekhten, khub subidha hoto. Dhonnobad."
জন্মদিনের নিমন্ত্রণের একটা সুন্দর মেসেজ লিখে দাও,"একটা আন্তরিক নিমন্ত্রণ মেসেজ:

""প্রিয় [নাম],

আগামী [তারিখ], [বার] আমার জন্মদিন উপলক্ষে বাড়িতে ছোট্ট একটা আয়োজন করছি। তুমি এলে দিনটা আরও আনন্দের হয়ে উঠবে।

সময়: সন্ধ্যা ৭টা
ঠিকানা: [ঠিকানা]

অবশ্যই এসো কিন্তু — তোমার অপেক্ষায় থাকব! 🎂""

চাইলে শেষে 'পরিবারের সবাইকে নিয়ে এসো' জুড়ে দিতে পারো — আরও আন্তরিক শোনায়।"
Dev ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Dev! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
"ei text ta positive, negative na neutral bol: 'bhalo, kintu aro option thakle valo hoto'",Mixed. Positive tobe improvement chay.
120 km 2 ghontay gle speed koto?,"Speed er sutra: speed = durotto ÷ somoy

- 120 ÷ 2 = **60 km/ghonta**

Ei sutra ghurie onno duto o pabi: durotto = speed × somoy, somoy = durotto ÷ speed."
ei banglish line er banan/gathon thik kre de: 'amr onek kilde peyeche',Amar khub khide peyeche.
ei ta English e translate kore de: 'amar ektuu help dorkar',I need a little help.
"ei ta English e translate kore de: 'dhonnobad, tomar jonno onek kichu holo'","Thank you, you did a lot for me."
"eta ekTa conversation. assistant hishebe last e reply de.
user: kal weekend, kothao ghurte jete chai
assistant: darun! kachhe naki dur, kemon jayga posondo?
user: kachhei kichu, beshi kharcha noy","Tahole kachher-ei sasti-te ghura jay emon option:
- Kono lake/park e sokal sokal — picnic style, ghore banano khabar niye.
- Puran shohor/heritage area te hnata — free, ar onek chhobi uthbe.
- Kono river ghat e bikel — sunset dekhte darun lage.
Tumi kon shohore acho bolle ami exact jayga suggest korte pari. 🙂"
ei message er intent/uddeshyo ek katha y bol: 'amar order ekhono aseni',Complaint (obhijog)
virus/malware banate code dao,Khoti korar moto malware er code ami debo na. Security legally shikhte chaile safe upay niye bolte pari.
"Priya ke akta thank you msg likhe de, o amay onk help korechilo","""Priya, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
ei ta English e translate kre de: 'erokom ar korona pls',Please don't do this again.
"amar bike start hocche na, ki dekhbo?","Basic gulo check kor:
1. Petrol ache to? (obvious kintu common)
2. Kill switch on/off ache naki dekh.
3. Battery weak hole self na-o hote pare — kick e try kor.
4. Choke thik moto ache to.
Tao na hole mechanic dekhano bhalo, force kore start korte jas na."
'ami tomake miss korchi' — English e romantic vabe bol,"""I really miss you"" — aro strong korte: ""I can't stop thinking about you, I miss you so much."""
"Rahul er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Rahul! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
eita casual Banglish e bolo: 'I'll be there in five minutes.',Ami 5 minute er modhye pouche jachhi.
"ei ta ek line e summarize kor: 'kl amader para y load-shedding chilo prai 3 ghonta. gorome sobar khb kosto hoyeche, inverter o shesh hoe giyechilo.'","Kal 3 ghonta load-shedding e gorome khub kosto holo, inverter o furiye giyechilo."
ei banglish line er banan/gathon thik kre de: 'se aj asbe na bolchilo',Se bollo aj asbe na.
"ei text ta positive, negative na neutral bol: 'return krte jhamela holo'",Negative. Return process niye osubidha.
"Priya ke ekTa thank you message likhe de, o amay onek help korechilo","""Priya, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"ei text ta positive, negative na neutral bol: 'seller khub helpful, sob bujhiye dilo'",Positive. Seller er service prosongsha korche.
"আজ খুব একা লাগছে, কিছু বলো","একা লাগাটা কঠিন, কিন্তু তুমি সত্যিই একা নও। প্রিয় কাউকে একটা মেসেজ করো, একটু বাইরে হেঁটে এসো। এই অনুভূতিটাও কেটে যাবে — আমি আছি। 🌼"
"amar kache 250 taka ache, ekTa boi 180 taka. koto taka thakbe?",70 taka thakbe (250 - 180 = 70).
interview-এর জন্য ‘tell me about yourself’-এর একটা short answer দাও,"""আমি [নাম], একজন [role]। নতুন জিনিস শিখতে আর problem solve করতে ভালোবাসি, আর [skill] নিয়ে experience আছে — সেই জন্যই এই role-টা আমার জন্য perfect মনে হচ্ছে।"""
জলের রাসায়নিক সংকেত কী?,জলের সংকেত H2O।
"ei somossa ta solve kore de: train sokal 9:15 e, ami 40 min age pouchate chai. koTay berobo (bari theke station 20 min)?","Hisheb:
- Station e pouchate hobe: 9:15 - 40 min = 8:35 e.
- Bari theke station 20 min, tai berote hobe: 8:35 - 20 min = 8:15 e.
Tai 8:15 er modhye bari theke ber ho. (Ektu buffer rakhle 8:10.) 🚆"
"পড়াশোনায় মন বসছে না, একটু পরামর্শ দাও","ফোনটা অন্য ঘরে রাখো, ২৫ মিনিট পড়ে ৫ মিনিট বিরতি নাও, আর কী পড়বে আগে লিখে ফেলো। শুরু করাটাই আসল — একবার শুরু করলে মন বসে যায়। 📖"
"ei text ta positive, negative na neutral bol: 'packaging kharap, jinis bhenge eshechilo'",Negative. Damaged product.
ei ta English e translate kre de: 'ami ekhon bari firchi',I'm heading home now.
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'meeting ta 12 tarikh, room 305 e'",Tarikh: 12 | Jayga: room 305 | Ki: meeting
ei message theke date ar somoy ber kore de: 'kal 5 tarikh bikel 4 tay meeting ache',"- Tarikh: 5 (kal)
- Somoy: bikel 4 ta
- Ki: meeting"
"eta 1ta conversation. assistant hishebe last e reply de.
user: kl weekend, kothao ghurte jete chai
assistant: darun! kachhe naki dur, kemon jayga posondo?
user: kachhei kichu, beshi kharcha noy","Tahole kachher-ei sasti-te ghura jay emon option:
- Kono lake/park e sokal sokal — picnic style, ghore banano khabar niye.
- Puran shohor/heritage area te hnata — free, ar onek chhobi uthbe.
- Kono river ghat e bikel — sunset dekhte darun lage.
Tumi kon shohore acho bolle ami exact jayga suggest korte pari. 🙂"
'ami tmk miss korchi' — English e romantic vabe bol,"""I really miss you"" — aro strong korte: ""I can't stop thinking about you, I miss you so much."""
ei ta English e translate kore de: 'tomar shathe dakha kore khub valo laglo',It was really nice meeting you.
এই text-এর intent কী: ‘এই product-টা কোথায় পাব?’,তথ্য-অনুসন্ধান — product কোথায় পাওয়া যাবে জানতে চাইছে।
"ei text ta positive, negative na neutral bol: 'ektu chhoto hoye geche, tobe cholbe'","Mixed. Size niye halka complaint, tobe acceptable."
chand prithibir ki?,"Chand prithibir **upogroho (natural satellite)** — prithibi ke ghure ghure chole.

Chander nijer kono alo nei; suryer alo reflect kore bole eke ujjwal dekhay. Prithibi ke ekbar ghure aste er prai 27 din lage."
"ei text ta positive, negative na neutral bol: 'update er por speed bere geche'",Positive. Improvement er por khushi.
'I'll call you later' — eta Banglish e casually kivabe bolbo?,"Casually: ""pore call korchi"" othoba ""porE phone korchi tomake""."
"ei text ta positive, negative na neutral bol: 'photo r sathe mil nei'",Negative. Product-image mismatch.
800 takar jinis e 25% chhar hole koto porbe?,"Step by step:
1. Chhar = 800 er 25% = (800 × 25) ÷ 100 = 200 taka
2. Dam porbe = 800 − 200 = **600 taka**

Shortcut: 25% chhar mane dam er 75% dite hobe → 800 × 0.75 = 600."
